"Product Name","Quantity","Sell Price","Date Sold","Product Category"
"Awesome Frozen Car","78","$315.76","11/19/2023","Cotton"
"Bespoke Frozen Mouse","17","$804.39","09/09/2023","Plastic"
"Sleek Cotton Bacon","74","$754.59","12/22/2022","Steel"
"Awesome Steel Shoes","20","$930.42","03/08/2024","Soft"
"Small Bronze Gloves","85","$605.75","03/13/2024","Cotton"
"Fantastic Metal Cheese","36","$892.83","04/28/2024","Steel"
"Unbranded Steel Sausages","87","$904.66","07/10/2023","Soft"
"Unbranded Frozen Pizza","32","$101.06","06/05/2023","Bronze"
"Practical Fresh Ball","9","$142.14","10/07/2023","Fresh"
"Bespoke Concrete Sausages","34","$983.76","01/02/2024","Frozen"
"Small Wooden Ball","52","$442.84","03/23/2024","Granite"
"Intelligent Granite Cheese","1","$45.87","12/23/2023","Cotton"
"Modern Metal Bike","39","$31.88","08/14/2023","Soft"
"Licensed Fresh Bacon","98","$820.12","03/11/2023","Granite"
"Unbranded Fresh Shirt","99","$257.45","02/14/2023","Metal"
"Unbranded Fresh Chair","54","$316.96","03/28/2023","Plastic"
"Tasty Cotton Chair","62","$390.51","11/29/2023","Bronze"
"Unbranded Concrete Chips","62","$628.48","06/16/2023","Cotton"
"Refined Fresh Bacon","24","$934.22","01/04/2023","Soft"
"Unbranded Cotton Ball","30","$739.35","01/18/2023","Granite"
"Handmade Rubber Towels","60","$205.71","12/01/2023","Steel"
"Bespoke Soft Bike","78","$231.46","01/12/2023","Metal"
"Sleek Granite Pants","94","$198.99","05/19/2023","Granite"
"Handmade Fresh Pants","87","$668.71","04/29/2023","Soft"
"Incredible Soft Hat","50","$479.81","11/27/2023","Metal"
"Bespoke Metal Tuna","23","$314.50","10/31/2023","Plastic"
"Bespoke Soft Shoes","4","$26.35","08/13/2023","Soft"
"Recycled Plastic Chicken","90","$819.61","07/20/2023","Cotton"
"Incredible Steel Hat","98","$424.54","04/05/2024","Wooden"
"Unbranded Concrete Shoes","81","$138.86","03/28/2024","Granite"
"Intelligent Soft Pizza","50","$54.72","03/28/2023","Steel"
"Recycled Plastic Shoes","44","$178.94","01/07/2024","Metal"
"Gorgeous Bronze Soap","82","$131.82","12/20/2023","Fresh"
